Субъект;Число гостиниц, 2018;Число гостиниц, 2019;Число гостиниц, 2020;Число гостиниц, 2021;Число гостиниц, 2022;Число гостиниц, 2023;Число мест в гостиницах, 2018;Число мест в гостиницах, 2019;Число мест в гостиницах, 2020;Число мест в гостиницах, 2021;Число мест в гостиницах, 2022;Число мест в гостиницах, 2023;Число хостелов, 2018;Число хостелов, 2019;Число хостелов, 2020;Число хостелов, 2021;Число хостелов, 2022;Число хостелов, 2023;Число мест в хостелах, 2018;Число мест в хостелах, 2019;Число мест в хостелах, 2020;Число мест в хостелах, 2021;Число мест в хостелах, 2022;Число мест в хостелах, 2023;Число санаторно-курортных организаций, 2018;Число санаторно-курортных организаций, 2019;Число санаторно-курортных организаций, 2020;Число санаторно-курортных организаций, 2021;Число санаторно-курортных организаций, 2022;Число санаторно-курортных организаций, 2023;Число мест в санаторно-курортных организациях, 2018;Число мест в санаторно-курортных организациях, 2019;Число мест в санаторно-курортных организациях, 2020;Число мест в санаторно-курортных организациях, 2021;Число мест в санаторно-курортных организациях, 2022;Число мест в санаторно-курортных организациях, 2023
Волгоградская область;209;212;210;223;215;221;11632;11006;11330;11812;11379;11908;39;36;31;29;26;25;1494;1076;993;895;985;930;24;23;23;23;22;22;3409;3389;3422;3257;3057;3063
Ростовская область;364;359;320;334;369;383;16766;16603;15888;16698;19590;20919;30;29;18;16;18;21;1183;953;540;578;729;938;21;24;22;24;21;24;7234;8427;7915;7705;7339;9203
г. Севастополь;31;30;30;44;41;48;2545;2453;2491;4231;3106;3753;5;7;5;9;10;4;151;350;140;305;328;…1;2;2;2;2;2;1;…1;…1;…1;…1;…1;…1
Республика Дагестан;47;69;68;68;77;160;2797;3390;3929;3916;4156;8111;0;1;1;2;2;7;0;…1;…1;…1;…1;182;20;18;18;21;25;32;3093;2721;3392;4076;4945;7275
Кабардино-Балкарская Республика;78;93;93;98;115;133;4126;4510;4590;4859;5498;6149;0;2;2;4;4;5;0;…1;…1;154;130;166;17;18;18;18;19;19;4830;4790;4845;4901;4851;4683
Карачаево-Черкесская Республика;57;56;58;58;94;101;4289;4077;4375;4231;6389;6430;1;1;1;2;5;4;…1;…1;…1;…1;1101;1005;7;6;7;7;8;8;…1;…1;1050;1050;1136;1136
Республика Северная Осетия - Алания;22;31;35;40;37;46;1810;2146;2165;1970;2179;2801;0;0;1;2;1;1;0;0;…1;…1;…1;…1;6;6;6;7;8;7;774;1006;1006;1007;1031;1016
Чеченская Республика;31;35;43;43;41;46;2315;2532;2952;3190;3166;3774;4;2;2;3;4;3;…1;…1;…1;…1;89;…1;2;3;4;3;4;4;…1;…1;…1;…1;…1;…1
Ставропольский край;256;267;264;276;298;321;11520;11702;11727;11686;13437;14885;15;16;17;18;21;23;375;401;549;580;606;683;118;115;117;114;115;114;31445;31085;30782;31184;32773;32143
Республика Башкортостан;207;205;227;239;229;230;11388;11330;11685;13807;13015;12177;26;33;30;26;19;19;648;925;918;1026;569;805;66;64;63;58;59;55;11736;11613;11345;11460;11619;10801
Республика Марий Эл;32;33;28;31;36;35;1416;1454;1757;1874;2110;2299;5;8;8;7;9;11;667;766;806;731;784;908;11;12;9;9;9;8;1901;1904;1655;1807;1842;1577
Республика Мордовия;41;44;44;50;49;46;2930;2366;2346;2431;2311;2157;13;7;7;6;9;7;741;352;375;382;500;236;8;8;8;7;7;8;1266;1266;1246;1050;1050;1031
Республика Татарстан;291;286;269;250;276;313;23357;23720;22994;22625;27618;28428;69;65;63;46;71;78;3815;3976;3289;2585;4175;8066;47;46;44;48;52;50;9713;9555;9197;10203;10814;10502
Удмуртская Республика;81;88;92;88;89;94;3204;3556;3702;4009;4442;4346;7;8;18;16;11;13;329;353;614;553;380;496;28;28;27;27;24;24;4756;4796;4785;4786;4300;4438
Чувашская Республика;65;68;69;69;65;66;2978;3097;3132;3041;2938;2907;8;8;8;6;5;7;206;197;201;185;154;274;14;14;14;14;15;15;3043;3019;3027;3003;3036;3035
